school.id,school.name,telephone,fax,email,principal,website,street,suburb,city,postal.address.1,postal.address.2,postal.address.3,postal.code,urban.area,school.type,definition,authority,gender.students,territorial.authority,regional.council,moe.local.office,education.region,general.electorate,maori.electorate,census.area.unit,ward,longitude ,latitude,decile,total.roll,european,maori,pacific.island,asian,MELAA,other,international.students
20,Bream Bay College,09 4328226,09 4328228,,Wayne Buckland,http://breambaycollege.school.nz/,Peter Snell Road,,Ruakaka,PO Box 111,,Ruakaka,151,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Northern,Whangarei,Te Tai Tokerau,Marsden Point-Ruakaka,Bream Bay Ward,174.45575,-35.87604,4,445,276,139,11,10,7,1,1
21,Otamatea High School,09 4318230,09 4318229,ohs@otamatea.school.nz,Haydn Hutching,http://www.otamatea.school.nz,Bickerstaffe Road,,Maungaturoto,PO Box 64,,Maungaturoto,547,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Kaipara District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Rehia-Oneriri,Otamatea Ward,174.365224,-36.117195,6,437,280,114,17,11,4,6,5
22,Ruawai College,09 4392216,09 4392214,,Stephen Fordyce,http://www.ruawaicollege.school.nz,4375 State Highway 12,,Ruawai,State Highway 12,,Ruawai,530,Rural Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Kaipara District,Northland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Rehia-Oneriri,West Coast-Central Ward,174.011636,-36.122535,5,199,110,87,1,0,1,0,0
23,Rodney College,09 4236030,09 4237555,eo@rodneycollege.school.nz,David Ormandy,http://www.rodneycollege.school.nz,287 Rodney Street,,Wellsford,287 Rodney Street,,Wellsford,900,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Whangarei,Northern,Northland,Te Tai Tokerau,Wellsford,Rodney Ward,174.520797,-36.288126,4,350,216,97,9,7,1,1,19
24,Mahurangi College,09 4258039,09 4257275,admin@mahurangi.school.nz,David Macleod,,Woodcocks Road,,Warkworth,PO Box 64,,Warkworth,941,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Rodney,Te Tai Tokerau,Warkworth,Rodney Ward,174.655512,-36.406484,8,1275,983,137,64,32,18,10,31
25,Orewa College,09 4273833,09 4265415,admin@oc.school.nz,Kate Shevland,http://www.orewa.school.nz/,Riverside Road,,Orewa,PO Box 345,,Orewa,946,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Rodney,Te Tai Tokerau,Orewa,Albany Ward,174.689715,-36.591667,9,1978,1575,184,37,66,29,24,63
26,Kaipara College,09 4208640,09 4207485,jsherman@kaiparacollege.school.nz,John Grant,http://www.kaiparacollege.school.nz/,Rautawhiri Road,,Helensville,Rautawhiri Road,,Helensville,800,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Helensville,Te Tai Tokerau,Helensville,Rodney Ward,174.459106,-36.680125,7,567,372,139,17,20,1,5,13
27,Long Bay College,09 4779009,09 4779105,office@lbc.school.nz,Russell Brooke,http://www.longbaycollege.com,Ashley Avenue,Torbay,Auckland,PO Box 89007,Torbay,Auckland,742,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,East Coast Bays,Te Tai Tokerau,Long Bay,Albany Ward,174.738725,-36.691364,10,1686,1349,69,13,97,32,4,122
28,Rangitoto College,09 4770150,09 4770077,info@rangitoto.school.nz,David Hodge,http://www.rangitoto.school.nz,564 East Coast Road,Browns Bay,Auckland,PO Box 93601,Browns Bay,Auckland,753,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,East Coast Bays,Te Tai Tokerau,Windsor Park,Albany Ward,174.736652,-36.737166,10,3034,1803,121,40,663,134,27,246
29,Kristin School,09 4159566,09 4158495,hgan@kristin.school.nz,Peter Clague,http://www.kristin.school.nz,360 Albany Highway,Albany,Auckland,PO Box 300087,Albany,North Shore City,752,Main Urban Area,Composite (Year 1-15),Not Applicable,Private: Fully Reg.,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Helensville,Te Tai Tokerau,North Harbour West,Albany Ward,174.692211,-36.742959,10,1543,1161,17,4,293,21,10,37
30,Glenfield College,09 4449066,09 4447198,principal@glenfieldcollege.school.nz,Edward Benton,,Kaipatiki Road,Glenfield,Auckland,PO Box 40176,Glenfield,North Shore City,747,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Northcote,Te Tai Tokerau,Kaipatiki,North Shore Ward,174.714921,-36.779771,7,772,290,114,64,196,48,2,58
31,Birkenhead College,09 4839039,09 4834094,office@birkenhead.school.nz,James Mathewson,http://www.birkenhead.school.nz/,140 Birkdale Road,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,746,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Northcote,Te Tai Tokerau,Birkdale South,North Shore Ward,174.701119,-36.799144,6,767,341,106,110,127,38,4,41
32,Northcote College,09 4810141,09 4810142,office@northcote.school.nz,Vicki Barrie,http://www.northcote.school.nz,Kauri Glen Road,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Northcote,Te Tai Tokerau,Northcote South,North Shore Ward,174.733645,-36.808851,9,1199,629,145,87,151,52,12,123
33,Hato Petera College,09 4807784,09 4801678,marymc@hatopetera.school.nz,John Matthews,http://www.hatopetera.school.nz,103 College Road,Northcote,Auckland,103 College Road,Northcote,Auckland,627,Main Urban Area,Secondary (Year 9-15),Secondary Maori Boarding School,State: Integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Northcote,Te Tai Tokerau,Tuff Crater,North Shore Ward,174.75311,-36.797943,2,100,1,99,0,0,0,0,0
35,Carmel College,09 4861132,09 4862286,admin@carmel.school.nz,Kathleen Deady,http://www.carmel.school.nz/,108 Shakespeare Road,Milford,Auckland,PO Box 31142,Milford,North Shore City,741,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland,Auckland Region,Auckland North,Northern,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.75671,-36.779146,10,1019,645,57,43,158,74,3,39
36,Takapuna Grammar School,09 4894167,09 4867118,office@takapuna.school.nz,Simon Lamb,http://www.takapuna.school.nz,210 Lake Road,Takapuna,Auckland,PO Box 331096,Takapuna,Auckland,740,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,North Shore,Te Tai Tokerau,Seacliffe,North Shore Ward,174.788445,-36.800585,10,1599,1052,76,38,192,46,10,185
37,Westlake Boys' High School,09 4108667,09 4107717,office@westlake.school.nz,David Ferguson,http://www.westlake.school.nz,Forrest Hill Road,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,620,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Boys School,Auckland,Auckland Region,Auckland North,Northern,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.749459,-36.777336,9,2299,1079,142,71,736,99,6,166
38,Westlake Girls' High School,09 4894169,09 4861860,office@westlakegirls.school.nz,Roslyn Mexted,,2 Wairau Road,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,627,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Girls School,Auckland,Auckland Region,Auckland North,Northern,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.752277,-36.782427,9,2262,1027,118,88,748,86,24,171
39,Rosmini College,09 4895417,09 4895323,i.fairhurst@rosmini.school.nz,Thomas Gerrard,,36 Dominion Street,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,622,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland,Auckland Region,Auckland North,Northern,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,174.760114,-36.792412,9,1001,639,56,55,147,62,2,40
40,Rutherford College,09 8349790,09 8346506,admin@rutherford.school.nz,Gary Moore,http://www.rutherfordcollege.school.nz,Kotuku Street,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,610,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Te Atatu,Te Tai Tokerau,Te Atatu Central,Waitakere Ward,174.646277,-36.85256,6,1379,626,262,182,209,46,13,41
41,Macleans College,09 5352620,09 5352621,nr@macleans.school.nz,Byron Bentley,http://www.macleans.school.nz,Macleans Road,Bucklands Beach,Auckland,Private Bag 94201,,Auckland,2145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland South,Northern,Pakuranga,Tamaki Makaurau,Bucklands and Eastern Beaches,Howick Ward,174.914392,-36.882692,10,2514,980,52,28,1111,61,17,265
42,Green Bay High School,09 8178173,09 8178264,office@greenbayhigh.school.nz,Morag Hutchinson,http://www.greenbayhigh.school.nz,143-161 Godley Road,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,604,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,New Lynn,Tamaki Makaurau,Green Bay,Whau Ward,174.669363,-36.93092,8,1337,955,163,81,79,29,5,25
43,Massey High School,09 8310500,09 8339200,office@masseyhigh.school.nz,Bruce Ritchie,,274 Don Buck Road,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,614,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Waitakere,Te Tai Tokerau,Birdwood,Waitakere Ward,174.60166,-36.84185,5,2160,946,372,486,247,62,18,29
44,Waitakere College,09 8367890,09 8367892,secretary@waitakere-college.co.nz,Mark Shanahan,http://www.waitakere-college.school.nz,Rathgar Road,Henderson,Auckland,PO Box 21144,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.620679,-36.867067,3,1374,426,313,342,203,64,10,16
45,Henderson High School,09 8389085,09 8389164,admin@hhs.school.nz,Michael Purcell,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,PO Box 21141,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland North,Northern,Waitakere,Te Tai Tokerau,Henderson South,Waitakere Ward,174.628173,-36.883626,4,614,282,145,101,39,17,3,27
46,Liston College,09 8389350,09 8379809,info@liston.school.nz,Christopher Rooney,,69 Rathgar Road,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,610,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland,Auckland Region,Auckland North,Northern,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.623127,-36.866034,5,824,295,53,157,234,42,7,36
47,St Dominic's College (Henderson),09 8390380,09 8390390,stdoms@stdoms.ac.nz,Carol Coddington,http://www.stdoms.ac.nz,29 Rathgar Road,Henderson,Auckland,PO Box 21123,Henderson,Waitakere,650,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland,Auckland Region,Auckland North,Northern,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.621039,-36.868828,6,880,372,70,159,183,47,7,42
48,Western Springs College,09 8156730,09 8156740,admin@wsc.school.nz,Kenneth Havill,http://www.westernsprings.school.nz,Motions Road,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland South,Northern,Auckland Central,Tamaki Makaurau,Point Chevalier East,Waitemata and Gulf Ward,174.717503,-36.861946,8,1299,736,261,145,82,22,6,47
49,Selwyn College,09 5219610,09 5219620,info@selwyn.school.nz,Sheryll Ofner,http://www.selwyn.school.nz,Kohimarama Road,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland South,Northern,Tamaki,Tamaki Makaurau,Mission Bay,Orakei Ward,174.838519,-36.8623,4,839,230,120,130,196,131,14,18
50,St Mary's College (Ponsonby),09 3766568,09 3760206,office@stmaryak.school.nz,Jane Holloway,http://www.stmaryak.school.nz,11 New Street,Ponsonby,Auckland,PO Box 47003,Ponsonby,Auckland,1144,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland,Auckland Region,Auckland South,Northern,Auckland Central,Tamaki Makaurau,St Marys,Waitemata and Gulf Ward,174.748202,-36.845973,7,875,560,61,110,93,7,12,32
51,St Paul's College (Ponsonby),09 3761287,09 3786713,stpauls@stpaulscollege.co.nz,Mark Rice,http://www.stpaulscollege.school.nz/,183 Richmond Road,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland,Auckland Region,Auckland South,Northern,Auckland Central,Tamaki Makaurau,Ponsonby West,Waitemata and Gulf Ward,174.737758,-36.854426,3,239,8,19,197,10,4,1,0
52,Tyndale Park Christian School,09 2749771,09 2749772,,,http://www.tyndalepark.school.nz,206 Murphys Road,Flat Bush,Manukau,206 Murphys Road,Flat Bush,Manukau,2016,Main Urban Area,Composite (Year 1-15),Not Applicable,Private: Fully Reg.,Co-Educational,Auckland,Auckland Region,Auckland South,Northern,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,174.922207,-36.974517,99,118,25,9,7,21,4,52,0
53,Auckland Girls' Grammar School,09 3074180,09 3099152,aperry@aggs.school.nz,Elizabeth Thomson,http://www.aggs.school.nz,Howe Street,Newton,Auckland,PO Box 68053,Newton,Auckland,1145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Girls School,Auckland,Auckland Region,Auckland South,Northern,Auckland Central,Tamaki Makaurau,Freemans Bay,Waitemata and Gulf Ward,174.753618,-36.856989,5,1451,214,314,592,235,47,9,40
54,Auckland Grammar,09 6235400,09 6235401,admin@ags.school.nz,John Morris,http://www.ags.school.nz,Mountain Road,Epsom,Auckland,Private Bag 99930,Newmarket,Auckland,1149,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Boys School,Auckland,Auckland Region,Auckland South,Northern,Epsom,Tamaki Makaurau,Mt Eden North,Albert-Eden-Roskill Ward,174.768819,-36.869384,10,2510,1204,125,112,909,44,19,97
57,Tamaki College,09 5211104,09 5285341,admin@tamaki.ac.nz,Soana Pamaka,http://www.tamaki.ac.nz,Elstree Avenue,Glen Innes,Auckland,PO Box 18061,Glen Innes,Auckland,1743,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland South,Northern,Tamaki,Tamaki Makaurau,Glen Innes East,Maungakiekie-Tamaki Ward,174.867239,-36.877913,1,635,18,171,439,3,0,3,1
58,Tangaroa College,09 2745764,09 2746371,,Ngaire Ashmore,http://www.tangaroa.school.nz,Haumia Way,Otara,Auckland,PO Box 61476,Otara,Manukau,2159,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland,Auckland Region,Auckland South,Northern,Botany,Tamaki Makaurau,Flat Bush,Manukau Ward,174.892878,-36.972875,1,981,5,164,776,28,0,1,7
59,Sacred Heart College (Auckland),09 5293660,09 5293661,admin@sacredheart.school.nz,James Dale,http://www.sacredheart.school.nz,250 West Tamaki Road,Glendowie,Auckland,250 West Tamaki Road,Glen Innes,Auckland,1071,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,State: Integrated,Boys School,Auckland,Auckland Region,Auckland South,Northern,Tamaki,Tamaki Makaurau,Glen Innes North,Orakei Ward,174.872381,-36.868864,8,1307,841,98,192,82,17,13,64
60,St Kentigern School for Girls - Corran,09 5201400,09 5247657,admin@sksg.school.nz,,http://corran.saintkentigern.com,514 Remuera Road,Remuera,Auckland,PO Box 28399,Remuera,Auckland,1541,Main Urban Area,Full Primary (Year 1-8),Not Applicable,Private: Fully Reg.,Girls School,Auckland,Auckland Region,Auckland South,Northern,Epsom,Tamaki Makaurau,Waiata,Orakei Ward,174.805206,-36.880943,10,141,114,2,4,18,1,1,1
61,Baradene College,09 5246019,09 5224077,admin@baradene.school.nz,Alexandra Pasley,http://www.baradene.school.nz,237 Victoria Avenue,Remuera,Auckland,PO Box 28906,Remuera,Auckland,1541,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland,Auckland Region,Auckland South,Northern,Epsom,Tamaki Makaurau,Orakei South,Orakei Ward,174.800292,-36.865613,9,1012,690,85,103,90,5,7,32
62,St Peter's College (Epsom),09 5248108,09 5249459,admin@st-peters.school.nz,Kieran Fouhy,http://www.st-peters.school.nz,Mountain Road,Epsom,Auckland,23 Mountain Road,Epsom,Auckland,1023,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland,Auckland Region,Auckland South,Northern,Epsom,Tamaki Makaurau,Grafton East,Waitemata and Gulf Ward,174.769641,-36.867757,8,1266,651,82,218,243,23,6,43
63,Marcellin College,09 6256509,09 6257835,marcellincollege@xtra.co.nz,Dennis Fahey,http://www.marcellin.school.nz/welcome.php,617 Mt Albert Road,Royal Oak,Auckland,PO Box 24126,Royal Oak,Auckland,1345,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Co-Educational,Auckland,Auckland Region,Auckland South,Northern,Mt Roskill,Tamaki Makaurau,Hillsborough East,Albert-Eden-Roskill Ward,174.766403,-36.9101,3,686,53,43,377,184,12,5,12
64,Epsom Girls Grammar School,09 6305963,09 6389143,office@eggs.school.nz,Madeline Gunn,http://www.eggs.school.nz,Silver Road,Epsom,Auckland,Silver Road,Epsom,Auckland,1023,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Girls School,Auckland,Auckland Region,Auckland South,Northern,Epsom,Tamaki Makaurau,Epsom North,Albert-Eden-Roskill Ward,174.774091,-36.876399,9,2212,1010,103,165,762,50,13,109
