^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
40,Rutherford College,09 8349790,09 8346506,admin@rutherford.school.nz,Gary Moore,http://www.rutherfordcollege.school.nz,Kotuku Street,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,0610,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Te Atatu Central,Waitakere Ward,174.646309,-36.85259,6,1373,617,242,190,210,42,14,58
41,Macleans College,09 5352620,09 5352621,nr@macleans.school.nz,Byron Bentley,http://www.macleans.school.nz,Macleans Road,Bucklands Beach,Auckland,Private Bag 94201,,Auckland,2145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Bucklands and Eastern Beaches,Howick Ward,174.914424,-36.882722,10,2574,872,53,29,1230,50,12,328
42,Green Bay High School,09 8178173,09 8178264,office@greenbayhigh.school.nz,Morag Hutchinson,http://www.greenbayhigh.school.nz,143-161 Godley Road,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,0604,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Whau,Auckland Region,Auckland North,Auckland,New Lynn,Tamaki Makaurau,Green Bay,Whau Ward,174.669395,-36.93095,8,1350,976,185,57,85,22,4,21
43,Massey High School,09 8310500,09 8339200,office@masseyhigh.school.nz,Bruce Ritchie,http://www.masseyhigh.school.nz/,274 Don Buck Road,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,0614,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Upper Harbour,Te Tai Tokerau,Birdwood East,Waitakere Ward,174.601693,-36.84188,5,2021,821,381,479,253,56,11,20
44,Waitakere College,09 8367890,09 8367892,tau@waitakere-college.school.nz,Mark Shanahan,http://www.waitakere-college.school.nz,Rathgar Road,Henderson,Auckland,PO Box 21144,Henderson,Waitakere,0650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.620712,-36.867097,3,1344,393,301,388,186,46,11,19
45,Henderson High School,09 8389085,09 8389164,admin@hhs.school.nz,Michael Purcell,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,PO Box 21141,Henderson,Waitakere,0650,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,174.628205,-36.883656,4,619,281,141,118,43,24,2,10
46,Liston College,09 8389350,09 8379809,info@liston.school.nz,Christopher Rooney,http://www.liston.school.nz,69 Rathgar Road,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,0610,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.623159,-36.866064,5,802,287,62,146,227,40,7,33
47,St Dominic's Catholic College (Henderson),09 8390380,09 8390390,stdoms@stdoms.ac.nz,Carol Coddington,http://www.stdoms.ac.nz,29 Rathgar Road,Henderson,Auckland,PO Box 21123,Henderson,Waitakere,0650,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.621071,-36.868859,6,857,342,82,154,185,49,6,39
48,Western Springs College,09 8156730,09 8156740,admin@wsc.school.nz,Kenneth Havill,http://www.westernsprings.school.nz,Motions Road,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Westmere,Waitemata and Gulf Ward,174.717535,-36.861976,8,1351,741,313,121,87,18,7,64
49,Selwyn College,09 5219610,09 5219620,info@selwyn.school.nz,Sheryll Ofner,http://www.selwyn.school.nz,Kohimarama Road,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Mission Bay,Orakei Ward,174.838551,-36.862331,4,960,318,134,142,222,107,9,28
50,St Mary's College (Ponsonby),09 3766568,09 3760206,office@stmaryak.school.nz,Bernadette Stockman,http://www.stmaryak.school.nz,11 New Street,Ponsonby,Auckland,PO Box 47003,Ponsonby,Auckland,1144,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Girls School,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Auckland Central,Tamaki Makaurau,St Marys,Waitemata and Gulf Ward,174.748234,-36.846003,7,925,633,57,124,86,3,5,17
51,St Paul's College (Ponsonby),09 3761287,09 3786713,stpauls@stpaulscollege.co.nz,Mark Rice,http://www.stpaulscollege.school.nz/,183 Richmond Road,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Main Urban Area,Secondary (Year 7-15),Not Applicable,State: Integrated,Boys School,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Auckland Central,Tamaki Makaurau,Ponsonby West,Waitemata and Gulf Ward,174.73779,-36.854456,3,254,6,30,210,7,0,1,0
52,Tyndale Park Christian School,09 2749771,09 2749772,admin@tyndalepark.school.nz,Lloyd Vivian,http://www.tyndalepark.school.nz,206 Murphys Road,Flat Bush,Manukau,206 Murphys Road,Flat Bush,Manukau,2016,Main Urban Area,Composite (Year 1-15),Not Applicable,Private: Fully Reg.,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,174.922239,-36.974546,99,131,31,6,11,26,7,50,0
53,Auckland Girls' Grammar School,09 3074180,09 3099152,aperry@aggs.school.nz,Elizabeth Thomson,http://www.aggs.school.nz,Howe Street,Newton,Auckland,PO Box 68053,Newton,Auckland,1145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Girls School,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Auckland Central,Tamaki Makaurau,Freemans Bay,Waitemata and Gulf Ward,174.75365,-36.85702,5,1389,153,299,641,220,44,10,22
54,Auckland Grammar,09 6235400,09 6235401,admin@ags.school.nz,Timothy O'Connor,http://www.ags.school.nz,Mountain Road,Epsom,Auckland,Private Bag 99930,Newmarket,Auckland,1149,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State: Not integrated,Boys School,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Mt Eden North,Albert-Eden-Roskill Ward,174.768851,-36.869414,10,2550,1204,129,108,931,48,16,114
57,Tamaki College,09 5211104,09 5285341,admin@tamaki.ac.nz,Soana Pamaka,http://www.tamaki.ac.nz,Elstree Avenue,Glen Innes,Auckland,PO Box 18061,Glen Innes,Auckland,1743,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Glen Innes East,Maungakiekie-Tamaki Ward,174.867271,-36.877943,1,499,12,116,366,3,1,1,0
58,Tangaroa College,09 2745764,09 2746371,principal.pa@tangaroa.school.nz,Davida White (acting),http://www.tangaroa.school.nz,Haumia Way,Otara,Auckland,PO Box 61476,Otara,Manukau,2159,Main Urban Area,Secondary (Year 9-15),Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Botany,Tamaki Makaurau,Rongomai,Manukau Ward,174.892909,-36.972905,1,891,20,149,696,16,0,0,10
